Age	Gender	Ethnic Group Description	Subject Catalog Nbr	Instruction Mode Group	Session	Official Grade	
24	Female	White	ACG2021	2	8	A	
25	Male	White	ACG2021	1	8	F	
25	Male	White	ACG2021	1	8	B	
32	Male	Black/African American	ACG2021	3	8	C	
42	Male	White	ACG2021	2	8	A	
24	Female	Black/African American	ACG2021	1	8	WF	
23	Female	Multi-Ethnic	ACG2021	1	8	A	
35	Female	Asian	ACG2021	1	8	B	
59	Female	White	ACG2021	1	8	W	
23	Female	White	ACG2021	1	8	B	
22	Male	White	ACG2021	3	8	B	
27	Male	Hispanic/Latino	ACG2021	2	8	B	
26	Male	Black/African American	ACG2021	1	8	WF	
33	Male	Hispanic/Latino	ACG2021	1	8	B	
24	Male	White	ACG2021	1	8	B	
22	Male	White	ACG2021	2	8	WF	
24	Female	White	ACG2021	1	8	W	
22	Male	White	ACG2021	3	8	WF	
23	Female	Hispanic/Latino	ACG2021	1	8	B	
22	Male	White	ACG2021	3	8	B	
23	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	F	
23	Female	Multi-Ethnic	ACG2021	2	8	F	
22	Male	White	ACG2021	3	8	F	
23	Female	White	ACG2021	2	8	C	
34	Male	White	ACG2021	1	8	B	
23	Female	Black/African American	ACG2021	1	8	B	
22	Female	White	ACG2021	1	8	F	
22	Female	White	ACG2021	1	8	B	
23	Female	White	ACG2021	3	8	B	
22	Male	Black/African American	ACG2021	2	8	B	
51	Female	White	ACG2021	1	8	C	
22	Female	White	ACG2021	3	8	A	
21	Female	White	ACG2021	2	8	B	
22	Male	White	ACG2021	2	8	C	
22	Female	Hispanic/Latino	ACG2021	1	8	F	
22	Female	Hispanic/Latino	ACG2021	1	8	C	
23	Male	White	ACG2021	1	8	A	
23	Male	Black/African American	ACG2021	3	8	A	
22	Female	White	ACG2021	1	8	C	
22	Male	White	ACG2021	1	8	B	
21	Female	White	ACG2021	3	8	F	
22	Female	Hispanic/Latino	ACG2021	1	8	B	
21	Male	Black/African American	ACG2021	1	8	W	
21	Male	White	ACG2021	3	8	C	
23	Male	Hispanic/Latino	ACG2021	3	8	F	
23	Male	Hispanic/Latino	ACG2021	2	8	A	
22	Male	Hispanic/Latino	ACG2021	2	8	C	
22	Female	White	ACG2021	2	8	B	
22	Female	White	ACG2021	1	8	A	
23	Female	Hispanic/Latino	ACG2021	1	8	B	
22	Female	White	ACG2021	1	8	A	
23	Unknown	White	ACG2021	1	8	B	
23	Male	White	ACG2021	2	8	B	
22	Female	Black/African American	ACG2021	2	8	C	
22	Female	White	ACG2021	2	8	B	
22	Female	White	ACG2021	2	8	A	
22	Male	White	ACG2021	1	8	B	
34	Female	Multi-Ethnic	ACG2021	3	8	A	
23	Female	White	ACG2021	1	8	B	
24	Male	White	ACG2021	1	8	C	
31	Male	Black/African American	ACG2021	1	8	W	
23	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	W	
21	Female	White	ACG2021	2	8	F	
22	Female	Multi-Ethnic	ACG2021	1	8	A	
24	Male	White	ACG2021	2	8	F	
22	Female	Black/African American	ACG2021	2	8	C	
31	Female	Black/African American	ACG2021	1	8	D	
21	Male	White	ACG2021	1	8	B	
30	Unknown	White	ACG2021	3	8	C	
24	Male	White	ACG2021	2	8	C	
24	Female	White	ACG2021	1	8	A	
43	Female	White	ACG2021	3	8	A	
23	Male	White	ACG2021	3	8	B	
23	Male	Asian	ACG2021	2	8	B	
24	Male	Hispanic/Latino	ACG2021	1	8	A	
24	Male	Hispanic/Latino	ACG2021	2	8	D	
23	Male	White	ACG2021	3	8	B	
28	Female	Hispanic/Latino	ACG2021	3	8	B	
25	Male	Not Specified	ACG2021	1	8	F	
44	Unknown	White	ACG2021	1	8	WF	
23	Female	White	ACG2021	3	8	C	
31	Male	Black/African American	ACG2021	1	8	C	
24	Male	White	ACG2021	2	8	B	
24	Female	White	ACG2021	1	8	C	
24	Male	White	ACG2021	2	8	C	
24	Male	White	ACG2021	1	8	A	
23	Male	Hispanic/Latino	ACG2021	1	8	W	
23	Male	Hispanic/Latino	ACG2021	1	8	F	
45	Female	White	ACG2021	1	8	B	
53	Male	Not Specified	ACG2021	1	8	A	
25	Female	Hispanic/Latino	ACG2021	2	8	F	
25	Female	Hispanic/Latino	ACG2021	1	8	F	
66	Male	Not Specified	ACG2021	1	8	C	
24	Female	White	ACG2021	2	8	A	
29	Female	Asian	ACG2021	2	8	B	
41	Female	Asian	ACG2021	1	8	A	
25	Female	White	ACG2021	1	8	A	
22	Unknown	Black/African American	ACG2021	1	8	W	
23	Female	White	ACG2021	1	8	A	
27	Female	White	ACG2021	3	8	C	
25	Female	White	ACG2021	1	8	B	
25	Male	White	ACG2021	1	8	W	
25	Male	Hispanic/Latino	ACG2021	3	8	C	
30	Female	Not Specified	ACG2021	2	8	WF	
24	Male	Hispanic/Latino	ACG2021	2	8	F	
22	Male	White	ACG2021	1	8	B	
23	Female	White	ACG2021	1	8	B	
25	Unknown	Black/African American	ACG2021	2	8	D	
24	Male	White	ACG2021	2	8	A	
22	Unknown	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	W	
29	Female	White	ACG2021	1	8	B	
30	Female	Asian	ACG2021	1	8	A	
23	Male	Not Specified	ACG2021	3	8	C	
57	Female	White	ACG2021	1	8	C	
23	Unknown	White	ACG2021	1	8	A	
33	Female	White	ACG2021	2	8	C	
25	Female	White	ACG2021	1	8	B	
25	Female	Black/African American	ACG2021	1	8	B	
22	Female	White	ACG2021	2	8	A	
23	Male	Asian	ACG2021	2	8	B	
25	Male	White	ACG2021	2	8	A	
25	Male	White	ACG2021	1	8	W	
25	Female	White	ACG2021	3	8	B	
40	Female	Multi-Ethnic	ACG2021	1	8	C	
37	Male	Black/African American	ACG2021	1	8	W	
31	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	2	8	W	
27	Male	White	ACG2021	3	8	C	
23	Female	Not Specified	ACG2021	2	8	C	
24	Female	White	ACG2021	2	8	B	
25	Female	White	ACG2021	2	8	C	
25	Male	White	ACG2021	1	8	WF	
37	Female	White	ACG2021	1	8	F	
24	Male	White	ACG2021	2	8	B	
24	Male	White	ACG2021	3	8	D	
24	Male	White	ACG2021	2	8	D	
21	Female	Hispanic/Latino	ACG2021	2	8	A	
25	Male	Black/African American	ACG2021	1	8	F	
25	Female	Asian	ACG2021	2	8	W	
24	Female	White	ACG2021	3	8	A	
24	Female	White	ACG2021	1	8	B	
56	Female	White	ACG2021	2	8	A	
25	Female	Asian	ACG2021	1	8	C	
26	Unknown	White	ACG2021	1	8	B	
25	Male	American Indian/Alaska Native	ACG2021	1	8	A	
25	Female	Hispanic/Latino	ACG2021	2	8	B	
23	Female	White	ACG2021	3	8	A	
25	Male	White	ACG2021	2	8	C	
25	Unknown	White	ACG2021	1	8	B	
26	Unknown	White	ACG2021	3	8	C	
24	Female	Hispanic/Latino	ACG2021	1	8	B	
33	Female	White	ACG2021	1	8	A	
26	Male	White	ACG2021	1	8	A	
25	Male	White	ACG2021	3	8	C	
22	Male	White	ACG2021	1	8	C	
22	Male	White	ACG2021	1	8	WF	
24	Female	Hispanic/Latino	ACG2021	2	8	A	
26	Male	White	ACG2021	3	8	WF	
27	Male	White	ACG2021	2	8	A	
29	Female	White	ACG2021	1	8	A	
29	Female	White	ACG2021	1	8	W	
31	Male	White	ACG2021	1	8	A	
23	Female	Asian	ACG2021	1	8	A	
28	Male	White	ACG2021	1	8	C	
24	Female	White	ACG2021	2	8	C	
25	Male	White	ACG2021	1	8	F	
30	Male	White	ACG2021	2	8	WF	
23	Female	White	ACG2021	2	8	B	
62	Female	White	ACG2021	1	8	B	
24	Female	White	ACG2021	1	8	B	
25	Male	White	ACG2021	1	8	C	
41	Male	Black/African American	ACG2021	3	8	F	
50	Male	Black/African American	ACG2021	3	8	F	
25	Female	White	ACG2021	1	8	B	
28	Male	Multi-Ethnic	ACG2021	1	8	A	
24	Male	White	ACG2021	1	8	B	
25	Male	White	ACG2021	3	8	A	
31	Male	White	ACG2021	2	8	B	
44	Male	Black/African American	ACG2021	1	8	C	
24	Female	White	ACG2021	1	8	B	
24	Female	White	ACG2021	1	8	B	
47	Unknown	White	ACG2021	1	8	A	
31	Female	Hispanic/Latino	ACG2021	1	8	C	
34	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Unknown	Not Specified	ACG2021	1	8	A	
37	Female	Multi-Ethnic	ACG2021	1	8	A	
27	Female	White	ACG2021	2	8	C	
27	Unknown	White	ACG2021	1	8	B	
21	Female	White	ACG2021	3	8	A	
22	Unknown	Black/African American	ACG2021	1	8	A	
22	Male	Hispanic/Latino	ACG2021	1	8	A	
27	Female	White	ACG2021	1	8	A	
26	Male	Hispanic/Latino	ACG2021	1	8	F	
32	Male	Black/African American	ACG2021	1	8	B	
21	Male	White	ACG2021	1	8	A	
25	Male	Black/African American	ACG2021	1	8	D	
19	Male	Asian	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
21	Female	Hispanic/Latino	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
24	Male	Black/African American	ACG2021	3	8	F	
48	Male	Black/African American	ACG2021	1	8	B	
20	Male	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	B	
22	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	A	
21	Male	Asian	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	B	
22	Unknown	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	1	8	A	
23	Male	Asian	ACG2021	1	8	A	
21	Female	Multi-Ethnic	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	WF	
24	Male	White	ACG2021	1	8	A	
20	Female	White	ACG2021	1	8	A	
22	Unknown	Black/African American	ACG2021	1	8	B	
21	Unknown	White	ACG2021	1	8	A	
22	Unknown	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Male	Not Specified	ACG2021	1	8	A	
22	Female	Hispanic/Latino	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
21	Female	Black/African American	ACG2021	3	8	B	
22	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	B	
22	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
22	Female	Multi-Ethnic	ACG2021	1	8	A	
21	Male	Hispanic/Latino	ACG2021	1	8	B	
